duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
'\'B1of10\'','\'B6of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B1of10\'',no,'\'B4of10\'',average,yes,half,yes,full,good
'\'B5of10\'','\'B5of10\'','\'B8of10\'','\'B7of10\'',none,'\'B7of10\'',ret_allw,'\'B5of10\'','\'B2of10\'',yes,'\'B4of10\'',below_average,yes,full,yes,full,good
'\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',generous,yes,half,yes,half,good
'\'B10of10\'','\'B4of10\'','\'B4of10\'','\'B10of10\'',tc,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',yes,'\'B4of10\'',below_average,yes,half,yes,full,good
'\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B5of10\'',average,yes,half,yes,half,good
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'',none,'\'B7of10\'',empl_contr,'\'B5of10\'','\'B3of10\'',yes,'\'B5of10\'',average,yes,half,yes,full,good
'\'B10of10\'','\'B4of10\'','\'B6of10\'','\'B10of10\'',tc,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B5of10\'',generous,yes,none,yes,half,good
'\'B10of10\'','\'B10of10\'','\'B6of10\'','\'B1of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B5of10\'',below_average,yes,half,yes,full,good
'\'B5of10\'','\'B2of10\'','\'B10of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B9of10\'','\'B10of10\'',yes,'\'B4of10\'',below_average,yes,half,yes,full,good
'\'B1of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',generous,yes,full,yes,full,good
'\'B10of10\'','\'B3of10\'','\'B4of10\'','\'B9of10\'',none,'\'B7of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B7of10\'',generous,yes,half,yes,full,good
'\'B5of10\'','\'B9of10\'','\'B9of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B10of10\'',below_average,yes,full,yes,full,good
'\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B1of10\'',no,'\'B2of10\'',below_average,no,half,yes,half,bad
'\'B10of10\'','\'B3of10\'','\'B4of10\'','\'B10of10\'',tcf,'\'B8of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B7of10\'',generous,yes,full,yes,full,good
'\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B7of10\'',none,'\'B7of10\'',empl_contr,'\'B5of10\'','\'B4of10\'',no,'\'B4of10\'',generous,yes,half,yes,full,good
'\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B7of10\'',none,'\'B8of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',average,yes,full,yes,full,good
'\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B7of10\'',none,'\'B7of10\'',empl_contr,'\'B5of10\'','\'B1of10\'',no,'\'B5of10\'',below_average,yes,half,yes,full,good
'\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B7of10\'',tc,'\'B10of10\'',ret_allw,'\'B1of10\'','\'B2of10\'',no,'\'B1of10\'',below_average,yes,half,yes,none,bad
'\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B7of10\'',none,'\'B9of10\'',none,'\'B5of10\'','\'B2of10\'',yes,'\'B4of10\'',average,no,none,no,none,bad
'\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B7of10\'',tcf,'\'B7of10\'',empl_contr,'\'B10of10\'','\'B2of10\'',no,'\'B10of10\'',generous,yes,half,yes,full,good
'\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B5of10\'',generous,yes,full,yes,full,good
'\'B5of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'',none,'\'B10of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',below_average,yes,half,yes,full,bad
'\'B10of10\'','\'B3of10\'','\'B4of10\'','\'B9of10\'',tcf,'\'B1of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',below_average,yes,half,yes,full,good
'\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',generous,yes,half,yes,full,good
'\'B1of10\'','\'B8of10\'','\'B4of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B1of10\'',generous,yes,half,yes,full,good
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'',none,'\'B10of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',below_average,yes,half,yes,full,bad
'\'B5of10\'','\'B5of10\'','\'B5of10\'','\'B7of10\'',tcf,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',yes,'\'B2of10\'',below_average,yes,none,yes,half,good
'\'B5of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'',none,'\'B5of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',yes,'\'B5of10\'',generous,yes,half,yes,full,good
'\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B7of10\'',none,'\'B8of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',below_average,yes,full,yes,full,good
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'',none,'\'B7of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',average,yes,half,yes,full,bad
'\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B10of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',average,yes,half,yes,full,good
'\'B10of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'',tc,'\'B10of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',below_average,yes,half,yes,full,bad
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',average,yes,half,yes,full,bad
'\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B7of10\'',none,'\'B10of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',below_average,no,none,yes,none,bad
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'',tc,'\'B10of10\'',none,'\'B1of10\'','\'B1of10\'',no,'\'B2of10\'',below_average,no,half,yes,full,bad
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'',none,'\'B10of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',average,yes,none,yes,full,bad
'\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B7of10\'',tc,'\'B10of10\'',ret_allw,'\'B2of10\'','\'B1of10\'',no,'\'B4of10\'',generous,no,none,no,none,bad
'\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B1of10\'','\'B2of10\'',no,'\'B1of10\'',below_average,yes,half,yes,none,bad
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'',none,'\'B8of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',average,yes,half,yes,none,bad
'\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B5of10\'',average,yes,full,yes,half,good
'\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B7of10\'',none,'\'B9of10\'',none,'\'B5of10\'','\'B2of10\'',yes,'\'B4of10\'',average,no,none,no,none,bad
'\'B5of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',yes,'\'B5of10\'',generous,yes,none,yes,full,bad
'\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'',tc,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B5of10\'',average,yes,half,yes,full,bad
'\'B5of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'',tcf,'\'B10of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',below_average,yes,half,yes,full,bad
'\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',none,'\'B5of10\'','\'B2of10\'',no,'\'B2of10\'',below_average,no,none,yes,none,bad
'\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B1of10\'',no,'\'B2of10\'',below_average,no,half,yes,half,bad
'\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',average,yes,full,yes,full,good
'\'B5of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'',tcf,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',below_average,yes,half,yes,half,good
'\'B5of10\'','\'B6of10\'','\'B5of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B10of10\'','\'B2of10\'',no,'\'B4of10\'',below_average,yes,half,yes,full,good
'\'B5of10\'','\'B8of10\'','\'B5of10\'','\'B7of10\'',none,'\'B10of10\'',ret_allw,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',average,yes,full,yes,full,good
'\'B5of10\'','\'B10of10\'','\'B7of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B4of10\'',below_average,yes,full,yes,full,good
'\'B10of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'',tcf,'\'B9of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',yes,'\'B4of10\'',below_average,yes,half,yes,full,good
'\'B10of10\'','\'B3of10\'','\'B4of10\'','\'B9of10\'',tcf,'\'B7of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B7of10\'',generous,yes,half,yes,full,good
'\'B10of10\'','\'B4of10\'','\'B3of10\'','\'B7of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B3of10\'',no,'\'B4of10\'',average,yes,full,yes,full,good
'\'B10of10\'','\'B6of10\'','\'B5of10\'','\'B7of10\'',none,'\'B9of10\'',empl_contr,'\'B7of10\'','\'B3of10\'',no,'\'B4of10\'',generous,yes,half,yes,full,good
'\'B10of10\'','\'B6of10\'','\'B6of10\'','\'B10of10\'',none,'\'B10of10\'',empl_contr,'\'B5of10\'','\'B2of10\'',no,'\'B5of10\'',average,yes,half,yes,half,good
'\'B10of10\'','\'B8of10\'','\'B8of10\'','\'B7of10\'',none,'\'B7of10\'',empl_contr,'\'B5of10\'','\'B6of10\'',no,'\'B1of10\'',generous,yes,full,yes,full,good
